Movie Name,IMDB Rating,Budget (Million $),Revenue (Million $),Avg User Watch Time (Minutes),Type
Final Prophecy,7.7,148.5,530.6,163.8,Movie
Secret Truth,8.0,50.4,219.7,100.3,Movie
Secret Chronicles,3.5,125.0,564.1,88.4,Movie
Hidden Code,5.3,236.1,215.8,94.2,Series
Dark Empire,3.8,124.4,602.5,163.4,Series
Final Truth,8.6,209.3,418.9,123.3,Movie
Stranger Truth,7.1,152.7,378.6,75.7,Movie
Shadow War,5.2,73.1,297.0,145.1,Movie
Eternal Code,3.4,239.0,834.6,78.5,Movie
Broken Saga,5.0,26.2,118.4,67.2,Series
Lost Truth,5.1,157.9,363.6,90.7,Series
Final Prophecy,7.7,63.5,138.4,80.2,Movie
Stranger Truth,7.1,21.1,13.6,132.6,Movie
Secret Truth,8.8,151.4,391.0,118.1,Movie
Secret Reckoning,6.1,150.4,565.3,146.9,Series
Eternal War,3.8,212.4,394.1,121.4,Series
Stranger Legacy,7.6,223.7,577.7,110.3,Movie
Broken Legacy,7.9,218.6,325.1,123.1,Series
Eternal Legacy,6.6,123.5,491.2,112.1,Movie
Stranger War,8.0,189.9,146.7,64.5,Movie
Stranger Destiny,6.2,173.5,637.5,141.7,Movie
Eternal Prophecy,6.4,127.0,280.1,175.5,Movie
Midnight Truth,5.8,179.6,123.4,110.6,Series
Lost Truth,3.2,284.2,1233.6,110.8,Movie
Stranger Destiny,3.7,58.7,158.2,65.5,Movie
Shadow Saga,3.2,271.8,868.9,166.8,Movie
Midnight Reckoning,7.1,17.0,64.5,171.5,Movie
Dark Reckoning,5.0,93.2,321.3,157.6,Series
Stranger Prophecy,6.3,87.2,330.4,72.8,Series
Eternal Reckoning,8.9,188.3,740.1,168.0,Movie
Midnight Saga,4.6,40.2,126.7,62.9,Movie
Final Code,5.7,264.8,568.1,113.3,Series
Eternal Prophecy,7.9,248.7,396.5,120.1,Series
Hidden Chronicles,4.5,196.0,894.4,160.1,Movie
Hidden Code,3.5,138.1,671.8,150.1,Movie
Stranger Truth,4.9,280.0,590.7,155.7,Movie
Dark Prophecy,4.0,249.4,250.7,164.1,Movie
Hidden Reckoning,9.0,150.3,225.7,117.1,Movie
Broken Empire,8.3,210.9,741.9,153.6,Movie
Stranger Chronicles,7.1,170.5,217.9,68.2,Series
Broken Empire,8.7,176.8,709.1,113.3,Movie
Secret Empire,8.2,100.0,465.4,63.6,Movie
Stranger Truth,4.2,139.2,673.2,169.8,Movie
Hidden Prophecy,8.8,24.4,13.2,175.0,Movie
Eternal War,6.5,107.8,518.7,70.1,Movie
Dark Prophecy,8.2,209.1,801.0,123.9,Movie
Secret Legacy,8.8,286.0,251.2,99.0,Movie
Midnight Prophecy,5.1,289.0,684.5,101.1,Movie
Secret Destiny,3.7,167.2,610.3,114.1,Movie
Final Reckoning,4.5,182.4,876.4,75.0,Movie
Stranger Truth,5.8,56.5,70.0,81.7,Series
Secret Destiny,8.3,208.9,224.5,129.3,Movie
Eternal Truth,8.6,22.1,58.0,62.3,Series
Lost Destiny,3.0,86.1,418.1,132.0,Series
Shadow Chronicles,6.3,200.8,978.1,98.3,Movie
Eternal War,5.7,93.8,143.1,159.9,Movie
Midnight Destiny,4.4,15.9,30.8,132.0,Movie
Final Saga,3.8,249.7,1145.2,145.0,Movie
Dark Prophecy,5.2,93.8,357.1,73.7,Series
Midnight Prophecy,9.1,19.9,97.0,91.9,Movie
Shadow War,5.1,23.4,105.7,179.6,Movie
Stranger Reckoning,6.4,76.3,112.0,112.0,Movie
Stranger Chronicles,7.6,54.2,212.4,103.1,Series
Final Truth,5.4,232.5,167.1,164.9,Movie
Secret Empire,9.3,97.2,406.3,64.0,Series
Final Chronicles,9.3,241.6,774.8,124.2,Movie
Midnight Chronicles,4.6,53.0,254.5,85.2,Movie
Lost Empire,6.2,148.4,715.3,104.2,Series
Secret War,5.0,206.7,150.6,84.0,Movie
Secret Chronicles,4.9,195.9,239.5,64.5,Movie
Eternal Saga,3.2,180.7,484.1,110.0,Movie
Hidden Saga,7.0,277.5,1237.0,154.7,Movie
Lost Chronicles,6.3,69.3,288.6,174.2,Movie
Lost Code,3.3,148.6,719.2,134.9,Movie
Secret Legacy,4.8,265.3,870.5,106.7,Movie
Midnight Empire,8.9,24.3,40.2,152.4,Series
Broken Destiny,4.6,17.7,10.8,120.6,Movie
Dark Prophecy,3.9,70.8,106.4,104.1,Series
Lost Prophecy,6.2,190.3,673.4,81.5,Movie
Eternal Destiny,9.4,78.7,367.4,155.5,Movie
Eternal Destiny,4.6,57.9,112.6,120.1,Series
Dark Reckoning,7.4,138.2,613.7,175.7,Movie
Dark Code,8.0,184.5,420.1,156.2,Movie
Shadow Saga,4.5,75.3,142.1,110.4,Movie
Final Chronicles,7.7,90.9,253.6,148.9,Movie
Final Empire,5.4,184.5,459.4,114.4,Series
Dark Prophecy,7.1,283.8,1308.9,69.6,Movie
Midnight Prophecy,7.1,202.7,528.5,122.0,Series
Midnight Truth,6.5,235.1,411.0,163.9,Series
Broken Prophecy,3.6,110.7,475.1,162.7,Movie
Secret Reckoning,8.4,82.4,411.5,129.0,Series
Eternal Code,5.1,136.8,467.4,105.6,Movie
Stranger Destiny,4.2,242.3,394.2,61.2,Series
Final Saga,3.3,137.4,216.4,97.4,Movie
Lost Reckoning,6.8,254.2,193.1,178.8,Movie
Broken Truth,7.4,296.6,251.5,147.2,Movie
Shadow War,3.1,22.5,103.9,146.1,Movie
Eternal Reckoning,6.3,14.6,13.6,151.3,Movie
Shadow Prophecy,4.5,45.7,122.5,134.4,Movie
Eternal Truth,7.2,115.9,422.1,130.3,Series
Secret Legacy,4.1,40.2,173.9,114.4,Movie
Hidden Code,7.5,261.3,332.0,113.3,Movie
Midnight Empire,5.5,7.9,19.5,164.5,Movie
Hidden Destiny,9.1,95.4,155.7,107.2,Series
Stranger War,3.9,56.2,92.8,160.8,Series
Midnight Destiny,5.2,279.5,521.9,160.5,Movie
Shadow Chronicles,3.7,201.2,632.2,152.5,Movie
Lost Code,9.0,273.7,157.3,64.5,Series
Final Code,8.7,291.7,682.4,77.8,Series
Secret Legacy,4.7,149.6,200.6,97.8,Movie
Secret Truth,7.3,71.1,345.0,161.7,Movie
Final Legacy,8.3,58.9,183.9,164.8,Movie
Lost Empire,6.6,67.7,298.3,65.0,Movie
Dark Empire,6.4,212.9,293.9,99.0,Movie
Final Code,4.6,13.1,54.3,162.0,Movie
Final Reckoning,3.6,16.4,38.8,90.0,Movie
Midnight Chronicles,8.8,182.8,237.6,177.1,Movie
Secret Empire,8.9,193.0,757.6,118.7,Movie
Lost War,7.1,199.9,785.4,172.5,Movie
Secret Prophecy,5.2,112.2,558.9,111.5,Movie
Eternal Prophecy,5.3,242.0,971.4,98.9,Movie
Secret Code,7.7,160.6,185.3,103.5,Movie
Secret Legacy,8.8,32.5,63.4,166.1,Series
Broken Reckoning,8.8,239.3,606.1,99.7,Movie
Final Code,8.1,286.0,306.0,140.3,Movie
Broken Code,7.2,19.0,76.9,116.4,Movie
Lost Reckoning,3.5,118.0,338.7,173.0,Movie
Midnight Truth,4.1,146.8,697.3,79.1,Series
Stranger Empire,8.8,44.8,141.2,111.4,Movie
Hidden Truth,6.9,260.4,742.9,75.0,Movie
Secret Saga,3.1,86.0,70.6,129.4,Movie
Final Code,3.7,235.1,275.6,108.3,Movie
Midnight Empire,7.3,201.6,871.5,67.3,Movie
Hidden Saga,3.0,179.8,891.5,162.0,Movie
Midnight Saga,4.0,58.5,138.5,105.1,Series
Final Empire,6.6,67.0,277.7,119.2,Movie
Eternal Prophecy,7.5,15.2,50.5,108.9,Movie
Secret Reckoning,7.2,73.0,351.6,118.6,Movie
Midnight Legacy,4.5,104.3,163.9,62.0,Movie
Lost Prophecy,7.6,250.1,738.2,157.9,Series
Stranger Code,4.5,110.6,258.8,99.9,Movie
Final Legacy,5.1,226.6,665.7,146.9,Series
Lost Empire,7.9,132.4,226.4,67.8,Movie
Hidden Chronicles,7.2,235.7,645.8,122.9,Movie
Stranger Empire,8.5,292.9,970.0,169.1,Series
Midnight Empire,7.3,72.7,62.9,107.8,Movie
Stranger Legacy,6.7,258.8,994.7,83.7,Movie
Dark Saga,3.6,186.9,687.7,71.9,Movie
Stranger Code,5.4,245.4,1095.0,163.1,Movie
Shadow Prophecy,4.7,195.8,473.1,88.7,Movie
Shadow Truth,4.6,127.8,99.4,177.0,Movie
Stranger Code,9.3,69.2,178.3,89.7,Series
Hidden War,5.6,21.9,24.5,117.7,Movie
Stranger Prophecy,8.8,161.1,549.9,115.0,Movie
Hidden Saga,7.1,297.1,211.6,67.4,Series
Broken Saga,8.2,221.7,484.0,123.8,Movie
Eternal War,6.3,98.9,86.3,140.7,Series
Lost Code,6.7,248.3,127.9,149.1,Movie
Broken Reckoning,6.2,230.9,1113.5,122.7,Movie
Final Legacy,4.3,85.2,424.5,157.5,Series
Eternal Chronicles,7.7,5.3,15.9,150.3,Series
Final Prophecy,4.8,36.3,57.2,83.3,Movie
Stranger Prophecy,3.2,263.3,1211.2,108.2,Movie
Lost Code,7.2,251.1,1168.5,77.1,Movie
Midnight Reckoning,4.2,89.3,388.0,76.0,Series
Broken Truth,9.1,86.3,254.6,145.5,Movie
Dark Code,9.2,238.1,199.1,123.7,Movie
Hidden Saga,8.9,281.4,252.7,132.1,Series
Eternal Prophecy,5.4,234.0,1061.1,147.9,Series
Secret Saga,3.1,182.1,808.7,93.3,Series
Eternal Legacy,9.0,73.6,180.7,108.2,Movie
Final Empire,5.8,158.2,312.7,132.8,Movie
Secret Reckoning,9.3,70.8,240.6,71.6,Series
Final Saga,9.3,242.6,1002.3,160.0,Movie
Stranger Chronicles,8.5,116.7,442.6,101.2,Series
Midnight Chronicles,4.9,250.3,818.5,139.1,Movie
Stranger Code,5.5,115.1,177.5,179.5,Movie
Final Destiny,8.5,247.4,415.9,117.0,Movie
Hidden Prophecy,5.1,100.7,378.5,85.8,Movie
Midnight Code,4.1,132.6,545.2,86.0,Movie
Stranger War,6.6,185.0,189.2,67.2,Movie
Eternal Destiny,9.1,22.0,29.5,152.0,Movie
Stranger Destiny,7.5,284.5,1013.4,95.2,Movie
Midnight Empire,6.7,172.5,388.2,80.7,Series
Secret Prophecy,3.6,152.8,463.7,145.6,Movie
Lost Code,7.0,252.0,823.2,97.1,Movie
Midnight Empire,9.4,259.9,1037.8,132.1,Movie
Shadow Chronicles,3.9,157.2,648.6,110.1,Series
Stranger Reckoning,6.4,278.3,489.9,100.1,Movie
Stranger Prophecy,8.7,20.4,59.9,118.7,Movie
Eternal Reckoning,7.8,34.9,36.8,97.7,Series
Stranger Chronicles,7.5,179.4,769.5,164.5,Movie
Stranger Empire,7.6,106.9,460.2,68.8,Series
Shadow Truth,5.3,139.8,258.3,63.6,Movie
Final Reckoning,4.9,99.1,121.2,108.8,Movie
Secret Chronicles,8.3,122.0,99.5,80.7,Movie
Hidden Code,8.3,247.0,762.6,149.2,Movie
Hidden Chronicles,8.6,178.4,162.6,102.4,Movie
Shadow Destiny,8.9,299.2,1066.0,91.4,Movie
Secret Legacy,6.3,236.3,839.2,103.1,Movie
Broken War,6.3,82.8,270.2,86.3,Series
Final Prophecy,8.2,80.0,355.6,96.0,Movie
Shadow Truth,7.2,101.4,223.3,128.2,Movie
Shadow Chronicles,7.6,253.1,1154.2,163.7,Movie
Dark Legacy,8.2,9.2,6.1,104.5,Movie
Secret War,8.8,69.8,70.3,98.5,Movie
Broken Legacy,5.2,271.6,639.6,153.8,Series
Shadow Prophecy,5.4,192.3,610.2,62.7,Series
Hidden Legacy,3.6,68.8,44.4,96.2,Series
Dark Legacy,6.8,66.5,203.1,114.3,Movie
Stranger Prophecy,3.2,258.9,487.6,132.1,Movie
Secret Truth,6.0,268.2,1204.8,78.7,Movie
Hidden Code,6.5,77.6,225.0,111.9,Movie
Final Prophecy,4.9,126.7,398.5,128.0,Movie
Broken Saga,6.8,250.5,1191.2,121.2,Movie
Secret Truth,3.2,231.5,911.8,128.9,Series
Eternal Prophecy,3.2,244.4,604.2,139.5,Movie
Hidden Destiny,8.3,156.0,412.8,105.5,Movie
Secret Code,5.3,273.6,934.5,67.6,Movie
Dark Destiny,3.8,98.5,138.0,66.7,Movie
Eternal Destiny,6.4,47.8,43.0,163.0,Movie
Midnight Legacy,8.0,212.9,404.6,141.3,Movie
Midnight Saga,4.4,162.3,649.6,151.7,Movie
Eternal Truth,7.0,256.5,425.3,171.5,Movie
Lost War,3.6,25.3,27.5,150.1,Movie
Stranger Legacy,3.3,253.3,376.3,143.1,Movie
Lost Reckoning,6.5,88.7,315.4,138.7,Series
Stranger Truth,6.5,196.8,642.1,91.0,Movie
Hidden Chronicles,7.1,13.0,46.8,174.9,Movie
Hidden Saga,7.7,183.3,357.2,125.0,Movie
Stranger Chronicles,9.3,215.5,981.4,86.6,Series
Stranger Empire,6.4,111.3,281.9,85.2,Series
Eternal Legacy,5.1,65.4,183.9,157.8,Movie
Stranger Legacy,8.2,161.8,771.7,90.0,Series
Shadow Saga,4.8,250.1,1227.2,65.0,Movie
Eternal Truth,5.9,97.7,339.7,111.4,Series
Eternal Reckoning,3.5,76.5,363.5,158.1,Movie
Hidden Code,3.2,84.4,247.9,109.7,Movie
Midnight Legacy,9.3,284.8,536.2,156.4,Movie
Stranger Truth,8.4,108.4,207.9,159.3,Movie
Broken Chronicles,7.5,2.1,6.3,162.9,Series
Midnight Chronicles,5.7,234.7,756.4,130.7,Series
Midnight Destiny,4.1,210.1,520.7,143.9,Series
Dark Legacy,4.0,39.4,176.4,91.4,Movie
Lost Destiny,4.6,295.5,715.1,72.0,Movie
Stranger Truth,6.6,182.8,316.3,123.9,Movie
Hidden Prophecy,7.6,150.7,80.8,61.3,Series
Midnight Prophecy,7.3,115.3,561.2,115.9,Movie
Broken War,4.8,269.7,1135.3,72.3,Movie
Eternal Legacy,9.2,73.9,241.7,73.0,Movie
Secret Chronicles,7.8,86.4,366.1,164.5,Movie
Dark Prophecy,6.6,37.6,155.9,136.9,Movie
Midnight Reckoning,7.0,228.0,1070.1,137.4,Movie
Eternal Truth,5.7,179.1,400.7,108.5,Series
Midnight Empire,4.6,183.1,548.7,109.6,Movie
Stranger Empire,5.3,66.3,62.6,96.4,Movie
Final Destiny,7.9,195.7,948.0,112.1,Movie
Stranger Saga,3.1,229.9,1134.1,130.5,Movie
Broken Legacy,3.8,108.0,437.5,82.4,Movie
Dark War,3.3,240.6,612.0,91.4,Movie
Midnight Code,3.3,105.3,287.9,119.4,Movie
Final War,8.6,227.7,559.9,106.2,Movie
Eternal Empire,7.6,11.1,20.2,158.3,Series
Dark Prophecy,6.1,165.8,476.7,158.6,Movie
Secret Destiny,3.6,290.9,215.4,100.3,Series
Midnight Empire,6.2,294.4,1461.3,114.1,Movie
Final Saga,6.1,85.2,205.2,177.2,Series
Stranger Destiny,4.1,133.0,621.5,159.3,Movie
Midnight Saga,5.8,19.8,74.4,85.9,Series
Secret Saga,5.6,262.1,473.0,93.6,Movie
Lost Truth,7.0,171.0,256.4,70.0,Movie
Lost Saga,7.1,116.1,578.2,141.3,Movie
Lost Chronicles,3.3,34.7,137.9,98.0,Movie
Hidden Saga,5.4,284.1,461.2,124.4,Series
Broken Truth,7.1,159.5,128.2,152.2,Movie
Eternal Reckoning,6.3,85.6,311.3,160.3,Series
Midnight Code,8.6,105.7,197.0,99.0,Movie
Eternal Prophecy,7.3,81.9,122.5,88.5,Series
Eternal Destiny,4.1,180.9,688.7,161.8,Movie
Secret Legacy,3.5,279.1,992.7,105.8,Movie
Hidden Reckoning,7.2,257.2,685.8,158.6,Movie
Dark War,3.2,138.7,657.7,78.0,Movie
Shadow Prophecy,6.8,248.1,882.8,169.4,Series
Dark Truth,9.1,127.5,576.3,118.0,Movie
Final Truth,6.7,76.4,103.7,80.4,Series
Dark Saga,5.5,295.0,541.3,124.2,Movie
Eternal Saga,7.2,91.9,89.2,164.4,Series
Shadow Legacy,6.0,97.8,182.9,106.7,Series
Final Prophecy,6.5,296.9,1446.8,81.4,Movie
Lost War,9.1,41.0,198.1,129.2,Series
Hidden Legacy,5.5,228.4,895.7,160.1,Series
Midnight Saga,9.2,280.8,798.8,74.6,Series
Midnight Destiny,8.9,154.0,618.1,65.0,Movie
Lost War,4.3,1.8,5.4,66.8,Series
Stranger Saga,3.5,113.1,58.3,87.7,Movie
Broken Reckoning,3.7,34.4,94.8,60.9,Movie
Midnight Prophecy,3.1,125.4,400.7,111.4,Movie
Midnight Reckoning,3.6,237.2,402.3,143.7,Movie
Eternal Destiny,7.4,132.2,187.0,145.3,Series
Dark Prophecy,3.5,130.1,225.4,136.4,Movie
Final War,5.1,167.5,553.8,95.5,Series
Broken Saga,8.5,174.9,202.4,148.3,Movie
Eternal Destiny,3.2,257.0,961.6,129.2,Movie
Final Prophecy,8.3,93.2,223.9,163.3,Movie
Broken War,4.8,246.7,515.6,117.4,Movie
Dark Empire,3.8,170.2,703.4,81.6,Movie
Hidden Truth,7.5,90.9,252.5,136.2,Series
Shadow Reckoning,7.1,89.2,196.5,78.1,Movie
Broken Saga,8.7,109.0,485.2,175.6,Movie
Broken Code,7.8,187.2,403.8,144.4,Movie
Lost Code,8.2,70.0,305.6,150.8,Movie
Shadow Code,4.8,276.2,764.8,141.5,Series
Midnight Prophecy,4.2,172.9,248.3,71.7,Movie
Shadow Legacy,7.9,276.1,899.4,115.8,Series
Shadow Saga,8.2,14.9,26.6,138.2,Movie
Stranger Saga,9.4,103.4,120.2,87.5,Movie
Stranger Truth,5.7,7.8,6.9,141.5,Series
Eternal Saga,5.4,82.4,130.8,158.4,Movie
Dark Destiny,8.0,258.7,986.8,93.0,Movie
Stranger Legacy,5.2,11.9,50.8,84.0,Movie
Final Prophecy,9.0,131.4,575.2,166.0,Movie
Stranger Saga,8.6,36.2,62.1,60.6,Series
Dark Prophecy,5.8,125.6,436.4,90.7,Movie
Shadow Destiny,7.9,251.8,386.9,108.8,Movie
Eternal Chronicles,7.9,187.3,618.5,140.7,Movie
Shadow Saga,3.7,221.3,994.2,179.6,Series
Stranger Saga,8.9,105.4,72.1,104.5,Series
Midnight Chronicles,6.3,283.4,1398.2,173.9,Movie
Lost Empire,8.4,213.1,899.7,104.0,Series
Secret War,5.1,127.1,499.2,143.5,Movie
Eternal Reckoning,8.8,128.5,464.0,79.8,Series
Stranger Chronicles,5.5,275.7,1093.5,115.2,Movie
Dark War,3.1,173.3,862.3,164.6,Series
Secret Chronicles,8.9,212.2,841.6,98.4,Movie
Stranger Destiny,3.6,125.7,261.7,72.6,Movie
Final Code,5.1,67.9,221.5,122.7,Movie
Broken Empire,9.2,217.3,438.1,112.7,Movie
Final Destiny,9.2,182.7,888.9,87.5,Movie
Lost Saga,6.7,150.9,686.7,168.7,Movie
Midnight Truth,7.1,187.6,573.0,132.2,Series
Dark Empire,5.9,63.3,254.2,101.7,Series
Broken War,4.9,238.4,1095.1,179.5,Series
Shadow Prophecy,5.1,284.5,454.1,76.5,Series
Midnight Empire,7.4,267.4,831.0,161.8,Movie
Secret Destiny,7.9,97.1,259.0,87.7,Movie
Dark Legacy,8.1,122.4,486.2,88.7,Series
Eternal Truth,8.1,242.7,535.4,119.8,Movie
Midnight Prophecy,3.6,178.9,660.2,139.4,Series
Lost War,6.2,164.8,381.3,142.9,Movie
Final Destiny,3.4,278.1,278.1,62.7,Movie
Stranger Empire,6.6,161.3,158.4,94.4,Movie
Stranger Chronicles,5.9,155.0,160.5,139.3,Movie
Shadow Reckoning,8.8,13.6,8.8,166.8,Movie
Midnight War,5.3,21.8,63.2,140.4,Movie
Shadow Chronicles,3.8,3.2,11.3,91.9,Movie
Dark Reckoning,3.9,274.1,293.4,120.9,Movie
Eternal Legacy,7.9,123.1,400.5,137.7,Movie
Eternal Legacy,7.0,141.1,450.1,76.2,Movie
Stranger Reckoning,3.7,253.8,294.9,125.4,Movie
Shadow Reckoning,3.5,183.2,424.7,116.6,Movie
Final Code,7.6,183.2,714.1,100.4,Movie
Stranger Empire,3.5,89.7,51.6,134.8,Movie
Final Saga,8.3,250.3,290.7,136.3,Movie
Eternal Reckoning,7.6,50.6,252.1,176.6,Movie
Midnight Saga,3.5,16.9,64.2,111.4,Movie
Secret Prophecy,3.6,58.3,150.9,123.8,Movie
Midnight Destiny,9.4,81.1,270.4,78.9,Movie
Eternal Saga,5.4,85.4,367.9,125.8,Movie
Broken Truth,5.4,201.5,864.5,64.3,Movie
Stranger Empire,8.3,66.1,129.6,78.0,Movie
Dark Destiny,9.2,203.3,551.1,80.5,Movie
Final Truth,9.4,28.2,95.1,135.9,Series
Shadow Truth,7.9,45.0,37.1,128.1,Movie
Final War,5.4,153.1,728.2,155.8,Series
Broken Truth,3.5,276.6,676.9,115.7,Series
Hidden Saga,8.1,258.0,559.6,117.0,Series
Lost Empire,6.6,290.7,1332.0,79.4,Movie
Hidden Destiny,5.8,195.5,201.8,149.1,Movie
Eternal Reckoning,8.9,203.1,137.4,60.4,Movie
Stranger Destiny,3.7,187.9,673.2,111.0,Movie
Eternal Prophecy,6.2,187.2,417.9,82.6,Movie
Broken Destiny,3.1,45.0,177.3,152.5,Series
Lost Reckoning,6.0,163.6,132.3,140.8,Movie
Midnight Reckoning,3.4,116.4,259.2,144.8,Series
Final Chronicles,3.8,133.3,207.8,77.8,Series
Secret Saga,3.8,157.6,603.3,140.3,Movie
Stranger Empire,7.2,39.4,60.0,142.9,Movie
Broken Code,7.8,108.5,277.8,60.3,Series
Broken Truth,6.8,20.0,83.7,98.1,Movie
Lost Truth,9.3,293.9,1357.6,70.5,Movie
Eternal Prophecy,5.4,36.4,136.6,141.8,Movie
Secret Prophecy,4.9,78.3,190.4,85.5,Movie
Stranger Legacy,8.6,267.5,822.3,91.8,Series
Midnight Prophecy,4.5,145.3,523.6,69.4,Movie
Eternal Reckoning,9.3,41.6,184.6,118.1,Movie
Hidden Saga,3.1,115.9,521.4,64.0,Movie
Shadow Truth,9.3,35.6,166.9,161.5,Movie
Hidden Reckoning,3.3,60.9,252.6,63.2,Series
Lost Code,8.8,16.6,19.3,67.4,Movie
Midnight Destiny,6.4,132.0,510.1,136.8,Movie
Secret Code,9.5,242.2,1008.9,170.0,Movie
Final War,3.5,176.2,784.2,167.1,Movie
Broken Destiny,6.6,182.3,849.8,70.0,Series
Dark Destiny,9.3,61.0,170.3,94.6,Movie
Eternal Reckoning,6.4,103.8,357.9,122.5,Movie
Hidden Prophecy,7.1,253.7,137.8,63.2,Movie
Midnight Reckoning,7.5,27.3,84.0,123.4,Movie
Broken Destiny,6.0,257.5,677.1,113.7,Movie
Broken Legacy,7.1,145.6,703.3,130.6,Movie
Eternal Reckoning,6.8,251.3,1145.3,170.4,Series
Broken War,8.9,96.1,393.0,93.0,Movie
Hidden Code,3.3,102.3,77.4,136.7,Movie
Shadow Destiny,4.8,225.7,521.2,111.6,Series
Broken Destiny,9.2,235.7,856.1,112.2,Movie
Stranger Destiny,8.8,69.7,44.2,137.7,Series
Eternal Truth,6.0,291.9,455.7,174.2,Series
Hidden Chronicles,7.0,26.3,118.2,163.6,Movie
Stranger Reckoning,4.8,21.5,23.3,136.7,Movie
Broken War,4.2,179.1,131.0,115.4,Movie
Secret Code,6.0,217.1,675.8,110.9,Movie
Broken Truth,5.3,288.3,1372.0,154.5,Movie
Lost Destiny,6.8,122.1,519.6,86.2,Movie
Shadow Reckoning,3.5,8.6,42.0,130.5,Series
Stranger Destiny,9.3,181.3,705.4,120.6,Movie
